date_num,date,best_ask_price,best_ask_size,best_bid_price,best_bid_size,ask_total_size,bid_total_size,ask_weighted_average_price,bid_weighted_average_price,best_mid_price,mid_weighted_average_price
1516577657.5,2018-01-21 23:34:17.500000,1225270,500000,1225160,1000000,36200001,56900000,1226662.2927805996,1220252.2847100175,1225215.0,1223457.2887453085
1516577657.5,2018-01-21 23:34:17.500000,1225220,1000000,1225150,1000000,63200001,81400000,1226130.775303627,1221661.9778869778,1225185.0,1223896.3765953025
1516577657.5,2018-01-21 23:34:17.500000,1225210,1000000,1225160,1000000,37200001,57400000,1226623.2526531385,1220293.205574913,1225185.0,1223458.2291140258
1516577657.5,2018-01-21 23:34:17.500000,1225230,1000000,1225150,1000000,63200001,81400000,1226130.9335314725,1221661.5479115478,1225190.0,1223896.2407215103
1516577657.5,2018-01-21 23:34:17.500000,1225220,1000000,1225170,1000000,37200001,57400000,1226623.5214703355,1220293.3797909408,1225195.0,1223458.4506306383
1516577657.5,2018-01-21 23:34:17.500000,1225240,1000000,1225150,1000000,62200001,82400000,1226145.257221459,1221704.1262135922,1225195.0,1223924.6917175255
1516577657.6,2018-01-21 23:34:17.600000,1225220,1000000,1225160,1000000,37200001,57400000,1226623.5214703355,1220293.205574913,1225190.0,1223458.3635226241
1516577657.6,2018-01-21 23:34:17.600000,1225230,1000000,1225150,1000000,61200001,82400000,1226159.395411121,1221704.004854369,1225190.0,1223931.7001327449
1516577657.6,2018-01-21 23:34:17.600000,1225240,2000000,1225150,1000000,62200001,81400000,1226144.774906354,1221662.0393120393,1225195.0,1223903.4071091968
1516577657.7,2018-01-21 23:34:17.700000,1225240,2000000,1225160,500000,62200001,80900000,1226144.774906354,1221640.7911001237,1225200.0,1223892.783003239
1516577657.7,2018-01-21 23:34:17.700000,1225240,1000000,1225160,500000,61200001,82900000,1226159.7222085013,1221725.6936067552,1225200.0,1223942.7079076283
1516577657.7,2018-01-21 23:34:17.700000,1225230,1000000,1225160,1000000,37200001,57900000,1226623.7902875326,1220335.2331606217,1225195.0,1223479.5117240772
1516577657.7,2018-01-21 23:34:17.700000,1225230,1000000,1225170,1000000,37200001,57900000,1226623.7902875326,1220335.4058721934,1225200.0,1223479.598079863
1516577657.7,2018-01-21 23:34:17.700000,1225250,2000000,1225160,500000,62200001,81900000,1226145.4179931604,1221684.2490842491,1225205.0,1223914.8335387048
1516577657.8,2018-01-21 23:34:17.800000,1225250,1000000,1225160,500000,61200001,82900000,1226160.0490058817,1221726.0554885403,1225205.0,1223943.0522472109
1516577658.5,2018-01-21 23:34:18.500000,1225230,1000000,1225180,1000000,37200001,57900000,1226623.7902875326,1220335.578583765,1225205.0,1223479.6844356488
1516577658.5,2018-01-21 23:34:18.500000,1225250,1000000,1225170,1000000,61200001,84900000,1226161.0293980225,1221806.3604240282,1225210.0,1223983.6949110255
1516577658.9,2018-01-21 23:34:18.900000,1225240,1000000,1225170,1000000,61200001,82400000,1226160.4575026068,1221705.5218446602,1225205.0,1223932.9896736336
1516577658.9,2018-01-21 23:34:18.900000,1225250,1000000,1225170,1000000,59700001,81900000,1226183.4170709646,1221684.9816849816,1225210.0,1223934.199377973
1516577659.2,2018-01-21 23:34:19.200000,1225240,1000000,1225170,1000000,61200001,82400000,1226160.4575026068,1221705.5218446602,1225205.0,1223932.9896736336
1516577659.3,2018-01-21 23:34:19.300000,1225250,2000000,1225170,1000000,61200001,79900000,1226160.620901297,1221598.2478097621,1225210.0,1223879.4343555295
1516577662.6,2018-01-21 23:34:22.600000,1225250,1000000,1225170,1000000,61200001,83900000,1226161.0293980225,1221766.3885578068,1225210.0,1223963.7089779146
1516577663.7,2018-01-21 23:34:23.700000,1225250,1000000,1225180,1000000,61200001,83900000,1226161.0293980225,1221772.348033373,1225215.0,1223966.6887156977
